Production Companies,Film Title,Filming Location,Stars,Director,Genres,URL,Release Date
The Archers;Independent Producers,Black Narcissus,United Kingdom,Deborah Kerr;David Farrar;Flora Robson,Michael Powell;Emeric Pressburger,Drama,https://www.imdb.com/title/tt0039192/?ref_=adv_li_tt,"April 24, 1947"
Hammer Films,Horror of Dracula,United Kingdom,Peter Cushing;Christopher Lee;Michael Gough,Terence Fisher,Drama;Horror,https://www.imdb.com/title/tt0051554/?ref_=adv_li_tt,"May 8, 1958"
London Film Productions,The Scarlet Pimpernel,United Kingdom,Leslie Howard;Merle Oberon;Raymond Massey,Harold Young,Adventure;Drama,https://www.imdb.com/title/tt0025748/?ref_=adv_li_tt,"December 20, 1934"
London Film Productions,The Third Man,United Kingdom,Orson Welles;Joseph Cotten;Alida Valli,Carol Reed,,https://www.imdb.com/title/tt0041959/?ref_=adv_li_tt,September 1949
Horizon Pictures (II),The Bridge on the River Kwai,United Kingdom;United States,William Holden;Alec Guinness;Jack Hawkins,David Lean,Adventure;Drama;War,https://www.imdb.com/title/tt0050212/?ref_=adv_li_tt,"October 2, 1957"
Michael Powell (Theatre),Peeping Tom,United Kingdom,Karlheinz Böhm;Anna Massey;Moira Shearer,Michael Powell,Drama;Horror;Thriller,https://www.imdb.com/title/tt0054167/?ref_=adv_li_tt,"April 7, 1960"
London Film Productions;British Lion Film Corporation,Hobson's Choice,United Kingdom,Charles Laughton;John Mills;Brenda de Banzie,David Lean,Comedy;Drama;Romance,https://www.imdb.com/title/tt0047094/?ref_=adv_li_tt,"February 19, 1954"
The Archers;Independent Producers,The Red Shoes,United Kingdom,Anton Walbrook;Marius Goring;Moira Shearer,Michael Powell;Emeric Pressburger,Drama;Music;Romance,https://www.imdb.com/title/tt0040725/?ref_=adv_li_tt,"July 22, 1948"
Hammer Films,The Curse of Frankenstein,United Kingdom,Peter Cushing;Hazel Court;Robert Urquhart,Terence Fisher,Horror;Sci-Fi;Thriller,https://www.imdb.com/title/tt0050280/?ref_=adv_li_tt,"May 2, 1957"
Hammer Films,The Brides of Dracula,United Kingdom,Peter Cushing;Martita Hunt;Yvonne Monlaur,Terence Fisher,Horror,https://www.imdb.com/title/tt0053677/?ref_=adv_li_tt,"June 3, 1960"
Sabre Film Production,Curse of the Demon,United Kingdom;United States,Dana Andrews;Peggy Cummins;Niall MacGinnis,Jacques Tourneur,Fantasy;Horror;Mystery;Thriller,https://www.imdb.com/title/tt0050766/?ref_=adv_li_tt,"November 9, 1957"
Romulus Films;Horizon Pictures,The African Queen,United Kingdom;United States,Humphrey Bogart;Katharine Hepburn;Robert Morley,John Huston,Adventure;Drama;Romance;War,https://www.imdb.com/title/tt0043265/?ref_=adv_li_tt,"December 26, 1951"
Gainsborough Pictures,The Lady Vanishes,United Kingdom,Margaret Lockwood;Michael Redgrave;Paul Lukas,Alfred Hitchcock,Mystery;Thriller,https://www.imdb.com/title/tt0030341/?ref_=adv_li_tt,"October 7, 1938"
The Archers,Stairway to Heaven,United Kingdom,David Niven;Kim Hunter;Robert Coote,Michael Powell;Emeric Pressburger,Drama;Fantasy;Romance;War,https://www.imdb.com/title/tt0038733/?ref_=adv_li_tt,"November 1, 1946"
Hammer Films,The Mummy,United Kingdom,Peter Cushing;Christopher Lee;Yvonne Furneaux,Terence Fisher,Adventure;Horror,https://www.imdb.com/title/tt0053085/?ref_=adv_li_tt,1959
Gaumont British Picture Corporation,The 39 Steps,United Kingdom,Robert Donat;Madeleine Carroll;Lucie Mannheim,Alfred Hitchcock,Crime;Mystery;Thriller,https://www.imdb.com/title/tt0026029/?ref_=adv_li_tt,"June 6, 1935"
Metro-Goldwyn-Mayer British Studios,Village of the Damned,United Kingdom,George Sanders;Barbara Shelley;Martin Stephens,Wolf Rilla,,https://www.imdb.com/title/tt0054443/?ref_=adv_li_tt,"June 16, 1960"
The Rank Organisation,A Night to Remember,United Kingdom,Kenneth More;Ronald Allen;Robert Ayres,Roy Ward Baker,Drama;History,https://www.imdb.com/title/tt0051994/?ref_=adv_li_tt,"July 1, 1958"
The Rank Organisation,The 39 Steps,United Kingdom,Kenneth More;Taina Elg;Brenda de Banzie,Ralph Thomas,Comedy;Crime;Drama;Mystery;Thriller,https://www.imdb.com/title/tt0053354/?ref_=adv_li_tt,"March 13, 1959"
Tempean Films,The Crawling Eye,United Kingdom,Forrest Tucker;Laurence Payne;Jennifer Jayne,Quentin Lawrence,Horror;Sci-Fi,https://www.imdb.com/title/tt0052320/?ref_=adv_li_tt,"October 7, 1958"
Moulin Productions Inc.,Moby Dick,United Kingdom,Gregory Peck;Richard Basehart;Leo Genn,John Huston,Adventure;Drama,https://www.imdb.com/title/tt0049513/?ref_=adv_li_tt,"June 27, 1956"
Columbia Pictures;Horizon Pictures (II);Academy Pictures Corporation,"Suddenly, Last Summer",United States;United Kingdom,Elizabeth Taylor;Katharine Hepburn;Montgomery Clift,Joseph L. Mankiewicz,Drama;Mystery;Thriller,https://www.imdb.com/title/tt0053318/?ref_=adv_li_tt,"December 22, 1959"
Cineguild,Brief Encounter,United Kingdom,Celia Johnson;Trevor Howard;Stanley Holloway,David Lean,Drama;Romance,https://www.imdb.com/title/tt0037558/?ref_=adv_li_tt,"November 19, 1945"
Ealing Studios,Dead of Night,United Kingdom,Mervyn Johns;Michael Redgrave;Roland Culver,Alberto Cavalcanti;Charles Crichton;Basil Dearden,Drama;Horror,https://www.imdb.com/title/tt0037635/?ref_=adv_li_tt,"September 9, 1945"
Romulus Films;Moulin Productions Inc.,Moulin Rouge,United Kingdom,José Ferrer;Zsa Zsa Gabor;Suzanne Flon,John Huston,Biography;Drama;Music;Romance,https://www.imdb.com/title/tt0044926/?ref_=adv_li_tt,"December 23, 1952"
Galaxy Pictures Limited,Tom Thumb,United Kingdom;United States,Russ Tamblyn;June Thorburn;Peter Sellers,George Pal,Family;Fantasy;Musical,https://www.imdb.com/title/tt0052427/?ref_=adv_li_tt,"December 4, 1958"
Warner Bros.,Captain Horatio Hornblower,United Kingdom;United States;France,Gregory Peck;Virginia Mayo;Robert Beatty,Raoul Walsh,Action;Adventure;Drama;War,https://www.imdb.com/title/tt0043379/?ref_=adv_li_tt,"April 10, 1951"
Cineguild,Great Expectations,United Kingdom,John Mills;Valerie Hobson;Tony Wager,David Lean,Adventure;Drama;Mystery;Romance,https://www.imdb.com/title/tt0038574/?ref_=adv_li_tt,"December 16, 1946"
Hammer Films,Never Take Candy from A Stranger,United Kingdom,Gwen Watford;Patrick Allen;Felix Aylmer,Cyril Frankel,Drama;Horror;Mystery;Thriller,https://www.imdb.com/title/tt0054116/?ref_=adv_li_tt,"March 4, 1960"
Alexander Korda Films;London Film Productions,The Thief of Bagdad,United Kingdom;United States,Conrad Veidt;Sabu;June Duprez,Ludwig Berger;Michael Powell;Tim Whelan,Adventure;Family;Fantasy;Romance,https://www.imdb.com/title/tt0033152/?ref_=adv_li_tt,"October 14, 1940"
Sydney Box Productions;Gainsborough Pictures,Miranda,United Kingdom,Glynis Johns;Googie Withers;Griffith Jones,Ken Annakin,Comedy;Fantasy;Romance,https://www.imdb.com/title/tt0040597/?ref_=adv_li_tt,"May 24, 1948"
Romulus Films;Dear Film;Santana Pictures Corporation,Beat the Devil,United Kingdom;United States;Italy,Humphrey Bogart;Jennifer Jones;Gina Lollobrigida,John Huston,Action;Adventure;Comedy;Crime;Drama;Romance,https://www.imdb.com/title/tt0046414/?ref_=adv_li_tt,"November 24, 1953"
Lewis Gilbert Productions;Angel Productions,Cast a Dark Shadow,United Kingdom,Dirk Bogarde;Margaret Lockwood;Kay Walsh,Lewis Gilbert,,https://www.imdb.com/title/tt0050233/?ref_=adv_li_tt,"September 20, 1955"
Associated British Picture Corporation (ABPC),The Dam Busters,United Kingdom,Richard Todd;Michael Redgrave;Ursula Jeans,Michael Anderson,Drama;History;War,https://www.imdb.com/title/tt0046889/?ref_=adv_li_tt,"May 16, 1955"
Vulcan Films,The City of the Dead,United Kingdom,Patricia Jessel;Dennis Lotis;Christopher Lee,John Llewellyn Moxey,Horror;Mystery;Thriller,https://www.imdb.com/title/tt0053719/?ref_=adv_li_tt,"September 9, 1960"
Group Film Productions Limited,Man with a Million,United Kingdom,Gregory Peck;Jane Griffiths;Ronald Squire,Ronald Neame,Comedy;Romance,https://www.imdb.com/title/tt0046072/?ref_=adv_li_tt,"January 7, 1954"
Walt Disney Productions;Walt Disney British Films,Treasure Island,United Kingdom;United States,Bobby Driscoll;Robert Newton;Basil Sydney,Byron Haskin,Adventure;Family,https://www.imdb.com/title/tt0043067/?ref_=adv_li_tt,"June 22, 1950"
Two Cities Films;Noel Coward-Cineguild,Blithe Spirit,United Kingdom,Rex Harrison;Constance Cummings;Kay Hammond,David Lean,Comedy;Fantasy,https://www.imdb.com/title/tt0038363/?ref_=adv_li_tt,"April 5, 1945"
Alexander Korda Films,The Jungle Book,United States;United Kingdom,Sabu;Joseph Calleia;John Qualen,Zoltan Korda,,https://www.imdb.com/title/tt0034928/?ref_=adv_li_tt,"April 1, 1942"
The Archers;Independent Producers,The Life and Death of Colonel Blimp,United Kingdom,Roger Livesey;Deborah Kerr;Anton Walbrook,Michael Powell;Emeric Pressburger,Drama;Romance;War,https://www.imdb.com/title/tt0036112/?ref_=adv_li_tt,"June 10, 1943"
Cineguild,Oliver Twist,United Kingdom,Robert Newton;Alec Guinness;Kay Walsh,David Lean,Drama,https://www.imdb.com/title/tt0040662/?ref_=adv_li_tt,"June 28, 1948"
Ealing Studios;Michael Balcon Productions,Kind Hearts and Coronets,United Kingdom,Dennis Price;Alec Guinness;Valerie Hobson,Robert Hamer,Comedy;Crime,https://www.imdb.com/title/tt0041546/?ref_=adv_li_tt,"June 23, 1949"
Roger Proudlock Productions,Adventure in the Hopfields,United Kingdom,Mandy Miller;Hilda Fenemore;Russell Waters,John Guillermin,Adventure;Family,https://www.imdb.com/title/tt0165075/?ref_=adv_li_tt,1954
Lopert Pictures Corporation;London Film Productions,Summertime,United Kingdom;United States,Katharine Hepburn;Rossano Brazzi;Isa Miranda,David Lean,Comedy;Drama;Romance,https://www.imdb.com/title/tt0048673/?ref_=adv_li_tt,"May 29, 1955"
The Rank Organisation;Ealing Studios;Michael Balcon Productions,The Ladykillers,United Kingdom,Alec Guinness;Peter Sellers;Cecil Parker,Alexander Mackendrick,Comedy;Crime,https://www.imdb.com/title/tt0048281/?ref_=adv_li_tt,"December 8, 1955"
Gaumont British Picture Corporation,The Man Who Knew Too Much,United Kingdom,Leslie Banks;Edna Best;Peter Lorre,Alfred Hitchcock,Crime;Mystery;Thriller,https://www.imdb.com/title/tt0025452/?ref_=adv_li_tt,"December 9, 1934"
Hammer Films,The Hound of the Baskervilles,United Kingdom,Peter Cushing;André Morell;Christopher Lee,Terence Fisher,Horror;Mystery,https://www.imdb.com/title/tt0052905/?ref_=adv_li_tt,"March 28, 1959"
Clarion Films;Hammer Films,The Abominable Snowman,United Kingdom,Forrest Tucker;Peter Cushing;Maureen Connell,Val Guest,Adventure;Horror,https://www.imdb.com/title/tt0050095/?ref_=adv_li_tt,"August 10, 1957"
Peter Rogers Productions,Carry on Constable,United Kingdom,Sidney James;Kenneth Williams;Eric Barker,Gerald Thomas,Comedy,https://www.imdb.com/title/tt0053699/?ref_=adv_li_tt,"February 25, 1960"
Hammer Films,The Revenge of Frankenstein,United Kingdom,Peter Cushing;Francis Matthews;Eunice Gayson,Terence Fisher,Horror;Sci-Fi,https://www.imdb.com/title/tt0050894/?ref_=adv_li_tt,"June 13, 1958"
Blaustein-Baroda,The Wreck of the Mary Deare,United Kingdom;United States,Gary Cooper;Charlton Heston;Michael Redgrave,Michael Anderson,Adventure;Crime;Drama;Mystery;Thriller,https://www.imdb.com/title/tt0053455/?ref_=adv_li_tt,"November 6, 1959"
Two Cities Films;Noel Coward-Cineguild,This Happy Breed,United Kingdom,Robert Newton;Celia Johnson;John Mills,David Lean,Comedy;Drama,https://www.imdb.com/title/tt0037367/?ref_=adv_li_tt,"May 28, 1944"
Holiday Film Productions Ltd.,1984,United Kingdom,Edmond O'Brien;Michael Redgrave;Jan Sterling,Michael Anderson,Drama;Sci-Fi,https://www.imdb.com/title/tt0048918/?ref_=adv_li_tt,"March 6, 1956"
London Film Productions;De Grunwald Productions,The Holly and the Ivy,United Kingdom,Ralph Richardson;Celia Johnson;Margaret Leighton,George More O'Ferrall,,https://www.imdb.com/title/tt0044716/?ref_=adv_li_tt,September 1952
Associated British Picture Corporation (ABPC);Charter Film Productions,Brighton Rock,United Kingdom,Richard Attenborough;Hermione Baddeley;William Hartnell,John Boulting,,https://www.imdb.com/title/tt0039220/?ref_=adv_li_tt,"January 8, 1948"
Herbert Wilcox Productions,Victoria the Great,United Kingdom,Anna Neagle;Anton Walbrook;Walter Rilla,Herbert Wilcox,,https://www.imdb.com/title/tt0029734/?ref_=adv_li_tt,"September 3, 1937"
Two Cities Films,Hamlet,United Kingdom,Laurence Olivier;Jean Simmons;John Laurie,Laurence Olivier,,https://www.imdb.com/title/tt0040416/?ref_=adv_li_tt,"May 6, 1948"
British Lion Films;Tudor Productions;John Harvel Productions,Two Way Stretch,United Kingdom,Peter Sellers;David Lodge;Bernard Cribbins,Robert Day,,https://www.imdb.com/title/tt0054417/?ref_=adv_li_tt,"February 11, 1960"
Warner Bros. Productions,The Sundowners,United Kingdom;United States;Australia,Deborah Kerr;Robert Mitchum;Peter Ustinov,Fred Zinnemann,Drama,https://www.imdb.com/title/tt0054353/?ref_=adv_li_tt,"December 8, 1960"
George Minter Productions,A Christmas Carol,United Kingdom,Alastair Sim;Jack Warner;Kathleen Harrison,Brian Desmond Hurst,Drama;Family;Fantasy,https://www.imdb.com/title/tt0044008/?ref_=adv_li_tt,"October 31, 1951"
Warner Bros.,Stage Fright,United Kingdom,Marlene Dietrich;Jane Wyman;Richard Todd,Alfred Hitchcock,,https://www.imdb.com/title/tt0042994/?ref_=adv_li_tt,"February 23, 1950"
Hammer Films,The Quatermass Xperiment,United Kingdom;Japan,Brian Donlevy;Jack Warner;Margia Dean,Val Guest,,https://www.imdb.com/title/tt0049646/?ref_=adv_li_tt,"August 26, 1955"
The Archers;Vega Film Productions,The Tales of Hoffmann,United Kingdom,Moira Shearer;Robert Rounseville;Ludmilla Tchérina,Michael Powell;Emeric Pressburger,Fantasy;Music;Musical;Romance,https://www.imdb.com/title/tt0044103/?ref_=adv_li_tt,"April 1, 1951"
Norma Productions,The Crimson Pirate,United States;United Kingdom,Burt Lancaster;Nick Cravat;Eva Bartok,Robert Siodmak,Action;Adventure;Comedy;Drama;Romance,https://www.imdb.com/title/tt0044517/?ref_=adv_li_tt,"August 27, 1952"
Merton Park Studios,The Concrete Jungle,United Kingdom,Stanley Baker;Sam Wanamaker;Grégoire Aslan,Joseph Losey,Crime;Drama;Thriller,https://www.imdb.com/title/tt0053740/?ref_=adv_li_tt,"October 27, 1960"
The Archers,I Know Where I'm Going!,United Kingdom,Wendy Hiller;Roger Livesey;Pamela Brown,Michael Powell;Emeric Pressburger,,https://www.imdb.com/title/tt0037800/?ref_=adv_li_tt,"November 8, 1945"
Metro-Goldwyn-Mayer (MGM),Ivanhoe,United Kingdom;United States,Robert Taylor;Elizabeth Taylor;Joan Fontaine,Richard Thorpe,Adventure;Drama;Romance,https://www.imdb.com/title/tt0044760/?ref_=adv_li_tt,"June 12, 1952"
Ortus Films,49th Parallel,United Kingdom;Canada,Leslie Howard;Laurence Olivier;Raymond Massey,Michael Powell,Drama;Thriller;War,https://www.imdb.com/title/tt0033627/?ref_=adv_li_tt,"October 8, 1941"
Twentieth Century-Fox Productions,No Highway in the Sky,United Kingdom;United States,James Stewart;Marlene Dietrich;Glynis Johns,Henry Koster,,https://www.imdb.com/title/tt0043859/?ref_=adv_li_tt,"June 28, 1951"
Metro-Goldwyn-Mayer British Studios,"Goodbye, Mr. Chips",United Kingdom,Robert Donat;Greer Garson;Terry Kilburn,Sam Wood;Sidney Franklin,,https://www.imdb.com/title/tt0031385/?ref_=adv_li_tt,"May 15, 1939"
Oriental International Films,The River,France;United Kingdom;India;United States,Patricia Walters;Nora Swinburne;Esmond Knight,Jean Renoir,,https://www.imdb.com/title/tt0043972/?ref_=adv_li_tt,"August 30, 1951"
Halas & Batchelor;Central Intelligence Agency (CIA),Animal Farm,United Kingdom;United States,Gordon Heath;Maurice Denham,Joy Batchelor;John Halas,Animation;Drama,https://www.imdb.com/title/tt0047834/?ref_=adv_li_tt,"December 29, 1954"
Two Cities Films,Odd Man Out,United Kingdom,James Mason;Robert Newton;Cyril Cusack,Carol Reed,,https://www.imdb.com/title/tt0039677/?ref_=adv_li_tt,"January 30, 1947"
Vernon Sewell Productions,Ghost Ship,United Kingdom,Dermot Walsh;Hazel Court;Hugh Burden,Vernon Sewell,,https://www.imdb.com/title/tt0044656/?ref_=adv_li_tt,October 1952
Romulus Films;Remus,Room at the Top,United Kingdom,Laurence Harvey;Simone Signoret;Heather Sears,Jack Clayton,Drama;Romance,https://www.imdb.com/title/tt0053226/?ref_=adv_li_tt,"December 29, 1958"
Individual Pictures,The Blue Lagoon,United Kingdom,Jean Simmons;Donald Houston;Susan Stranks,Frank Launder,Adventure;Drama;Romance,https://www.imdb.com/title/tt0041190/?ref_=adv_li_tt,"March 1, 1949"
Renown Pictures Corporation;Mayflower Pictures Corporation,Jamaica Inn,United Kingdom,Maureen O'Hara;Robert Newton;Charles Laughton,Alfred Hitchcock,Adventure;Crime,https://www.imdb.com/title/tt0031505/?ref_=adv_li_tt,"May 12, 1939"
Javelin Films;British Film-Makers,The Importance of Being Earnest,United Kingdom,Michael Redgrave;Richard Wattis;Michael Denison,Anthony Asquith,Comedy;Drama,https://www.imdb.com/title/tt0044744/?ref_=adv_li_tt,"June 2, 1952"
Twentieth Century Fox;Twentieth Century-Fox Productions,Night and the City,United Kingdom,Richard Widmark;Gene Tierney;Googie Withers,Jules Dassin,,https://www.imdb.com/title/tt0042788/?ref_=adv_li_tt,"June 9, 1950"
Gaumont British Picture Corporation,Sabotage,United Kingdom,Sylvia Sidney;Oscar Homolka;Desmond Tester,Alfred Hitchcock,Crime;Thriller,https://www.imdb.com/title/tt0028212/?ref_=adv_li_tt,"December 2, 1936"
Gaumont British Picture Corporation,Young and Innocent,United Kingdom,Nova Pilbeam;Derrick De Marney;Percy Marmont,Alfred Hitchcock,,https://www.imdb.com/title/tt0029811/?ref_=adv_li_tt,"February 17, 1937"
Warner Bros.;Marilyn Monroe Production I;Polyphony Digital,The Prince and the Showgirl,United Kingdom;United States,Marilyn Monroe;Laurence Olivier;Richard Wattis,Laurence Olivier,,https://www.imdb.com/title/tt0050861/?ref_=adv_li_tt,"June 13, 1957"
J. Arthur Rank Organisation;Ealing Studios,The Lavender Hill Mob,United Kingdom,Alec Guinness;Stanley Holloway;Sidney James,Charles Crichton,Comedy;Crime,https://www.imdb.com/title/tt0044829/?ref_=adv_li_tt,"June 28, 1951"
Hurley Productions;Victor Katona Productions,Mrs. Pym of Scotland Yard,United Kingdom,Mary Clare;Edward Lexy;Nigel Patrick,Fred Ellis,Crime;Mystery,https://www.imdb.com/title/tt0031682/?ref_=adv_li_tt,"April 13, 1940"
Lynx Films Ltd.,Circus of Horrors,United Kingdom,Anton Diffring;Erika Remberg;Yvonne Monlaur,Sidney Hayers,Drama;Horror,https://www.imdb.com/title/tt0053717/?ref_=adv_li_tt,April 1960
London Film Productions;L.O.P.,Richard III,United Kingdom,Laurence Olivier;Cedric Hardwicke;Nicholas Hannen,Laurence Olivier,,https://www.imdb.com/title/tt0049674/?ref_=adv_li_tt,"December 13, 1955"
